# kind	offset	note — candidate synsets for the geography pack (Peter, 2026-09-03: geography, Earth, space — only the uncontested, uncontroversial, stable and certain things; GPS, coordinate systems, map projections, great circles; integrate with the existing space representations). Space/astronomy is the sibling `space` pack.
topic	06122178	geography
topic	06115701	geology
topic	06118563	meteorology
topic	06119904	oceanography
topic	06120881	geodesy
cone	06115476	earth science (the earth sciences, 42)
cone	00815801	navigation
cone	09287968	geological formation (175: elevations, depressions, caves, reefs, ice)
cone	09225146	body of water (75)
cone	09334396	land (40: continent, island, peninsula, plain, wetland)
cone	11425580	atmospheric phenomenon (173; weather is inside)
cone	11417672	geological phenomenon (22)
cone	09247410	cloud (16)
cone	09416076	rock (30)
cone	14844693	soil (48)
cone	15116283	geological time
cone	15236475	season (of the year)
cone	03720163	map
cone	03720443	map projection
cone	05728024	coordinate system
cone	08579487	great circle (meridian, equator, horizon)
cone	08595720	latitude (the line; tropics, polar circles)
synset	08595531	latitude (angular distance)
synset	08596668	longitude
synset	08583095	hemisphere
synset	08691276	time zone
cone	08541841	climatic zone
cone	07941945	biome
cone	07402519	tide
cone	07406765	current (ocean currents, eddies)
cone	03811444	navigational system (GPS)
cone	03813176	navigational instrument
cone	13830305	compass point (33)
cone	08657249	stratum
synset	09260010	crust (of the Earth)
synset	09346450	mantle
synset	09307902	hydrosphere
synset	09339810	lithosphere
synset	08499504	biosphere
synset	08499057	atmosphere (of the Earth)
cone	14520518	air mass
synset	11470139	jet stream
synset	09382726	ozone layer
synset	09462600	troposphere
synset	09448090	stratosphere
synset	08588916	ionosphere
synset	14519366	climate
cone	09428967	sediment
cone	13475538	erosion
cone	09284589	fossil
synset	08679369	watershed
synset	09281914	floodplain
synset	09349648	meander
cone	09443453	spring (of water)
synset	09201998	aquifer
synset	09390146	permafrost
synset	05132340	sea level
synset	08613000	coastline
synset	09203827	archipelago
synset	07436475	volcanic eruption
synset	07349299	tsunami
synset	14537054	drought
synset	06419628	gazetteer
synset	06427086	atlas
synset	03440512	globe
synset	03009920	chart (navigational map)
synset	00617337	triangulation (surveying)
cone	01005579	surveying
synset	04419073	theodolite
synset	02700258	altimeter
synset	04259771	sonar
synset	02794156	barometer
synset	04049585	rain gauge
synset	02710429	anemometer
synset	06750698	weather forecast
synset	08578706	geographic point
synset	08574314	geographical area
synset	09335916	landmass
cone	15223343	equinox
cone	15221818	solstice
