# kind	offset	note — candidate synsets for the ai pack (WordNet is thin here: the AI cone has four nouns; Wikidata carries the pack)
cone	06133203	artificial intelligence (4)
cone	06133654	robotics
cone	05847438	algorithm
synset	05847956	heuristic
synset	13455234	data mining
synset	06725467	neural network (the computer architecture)
synset	06133503	machine translation
synset	06142412	natural language processing
cone	06142118	information science
synset	06142861	cognitive science
cone	06168552	computational linguistics
synset	05666700	computer simulation
cone	02761392	automaton / robot
synset	02710201	android
cone	03098806	control system
synset	04176295	servomechanism
synset	03180969	sensor
synset	13479380	feedback (the process)
synset	06150222	game theory
synset	06162979	ontology (computer science)
synset	00637546	operations research
synset	06577369	parser
# the cone roots themselves (a `cone` line takes what is below the synset, not the synset)
synset	06133203	artificial intelligence
synset	06142118	information science
synset	06168552	computational linguistics
synset	03098806	control system
synset	05847438	algorithm (also in mathematics; same synset)
