abbey	organization
abbey	place
academy	organization
academy	place
academy	school
active-galactic-nucleus	place
advertising	information
aircraft	vehicle
airline	organization
airplane	vehicle
airport	place
airship	vehicle
alliance	organization
altar	information
angel	information
anniversary	event
antibiotic	drug
antibiotic	substance
apartment	place
aquarium	place
arena	place
armillary-sphere	information
armillary-sphere	map
armillary-sphere	organization
armillary-sphere	place
army	organization
article	information
assembly-hall	place
asteroid	place
astronomical-catalog	collection
astronomical-catalog	dataset
astronomical-catalog	information
athlete	person
atmosphere	substance
bakery	organization
bakery	place
balcony	place
ballet	information
bank	organization
bank	place
bar	organization
bar	place
baron	person
barred-spiral-galaxy	place
barycenter	information
basement	place
battle	event
battlefield	place
bay	body-of-water
bay	landform
bay	place
beach	place
bead	information
beer	substance
bicycle	vehicle
binary-star	place
birthday	event
bishop	person
board-game	game
board-game	information
board-of-directors	organization
boat	vehicle
body-of-water	landform
body-of-water	place
bomber	vehicle
book	information
bottled-water	substance
bracelet	information
brewery	organization
brewery	place
bridge	place
brown-dwarf	place
buffet	event
building	place
bungalow	house
bungalow	place
burial	event
cabaret	organization
cabaret	place
capital-city	city
capital-city	place
car	vehicle
carnival	event
carnival	festival
carriage	vehicle
cartoon	drawing
cartoon	information
castle	house
castle	place
cathedral	church
cathedral	place
cave	landform
cave	place
cemetery	place
census	dataset
census	information
ceremony	event
chair	information
championship	event
chapter	information
charitable-organization	organization
chart	information
charter	information
chronicle	collection
chronicle	information
church	place
cider	substance
city	place
cliff	landform
cliff	place
coin	information
coin	sculpture
coin	service
collection	information
college	organization
colony	place
comedy	information
comet	place
comic-strip	information
committee	organization
communications-satellite	place
communications-satellite	vehicle
company	organization
compiler	information
composer	person
computer-mouse	person
computer-program	information
computer-virus	information
computer-worm	information
concrete	place
confederation	organization
congress	event
conspiracy	organization
constellation	place
constituent-state	place
constitution	information
constitution	legislation
continent	landform
continent	place
contract	information
cooperation	organization
council	organization
country	place
course	information
court	organization
craft	occupation
credit-card	service
cross	information
cruise-ship	vehicle
currency	service
cushion	information
dairy	organization
dairy	place
dark-nebula	place
dataset	information
decree	information
decree	legislation
deed	information
definition	information
deity	information
desert	place
diagram	information
diary	information
dictionary	information
district	place
document	information
doll	information
dormitory	place
drama	information
drawing	information
drink	substance
drug	substance
duke	occupation
duke	person
dwarf-galaxy	place
dwelling	place
earth-observation-satellite	place
earth-observation-satellite	vehicle
election	event
elliptical-galaxy	place
embassy	place
emission-nebula	place
empire	country
empire	organization
empire	place
engineer	person
episode	information
exhibition	event
exoplanet	place
extract	substance
factory	organization
factory	place
fair	event
fairy	information
family	organization
farm	place
ferry	vehicle
festival	event
fiction	information
figurine	information
figurine	sculpture
flag	information
flare-star	place
folding-screen	information
folklore	information
forest	place
fountain	information
fountain	place
funeral	event
furniture	information
galaxy	place
galaxy-cluster	place
galaxy-group	place
game	information
garden	place
gas	substance
gas-giant	place
gazebo	place
ghost	information
giant	information
glacier	body-of-water
glacier	landform
glacier	place
globe	information
globe	map
globular-cluster	place
government	organization
governor	person
grave	place
gravitational-lens	place
grocery-store	organization
grocery-store	place
gym	place
habitat	place
hall	place
headquarters	place
helicopter	vehicle
highway	place
hill	landform
hill	place
historian	person
holiday	event
home	house
home	place
hospital	organization
hospital	place
hostel	organization
hostel	place
hotel	organization
hotel	place
house	place
human	person
illustration	information
institution	organization
invention	event
irregular-galaxy	place
island	landform
island	place
journal	information
journal	periodical
kitchen	place
label	information
lace	information
land	place
land-vehicle	vehicle
landform	place
lantern	information
launch-pad	place
launch-vehicle	vehicle
lectern	information
lecture	event
legal-profession	occupation
legend	information
legislation	information
legislature	organization
library	organization
library	place
license	information
liqueur	substance
liquid	substance
liquor	substance
locomotive	vehicle
log-cabin	house
log-cabin	place
looting	event
lottery	game
lottery	information
magazine	information
magazine	organization
magazine	periodical
manuscript	information
map	information
marathon	event
marsh	body-of-water
marsh	landform
marsh	place
maze	game
maze	information
meal	event
meeting	event
